Place_Name,Category,Country,City,Price,PriceMYR,Rating,Coordinate,Lat,Long
Monumen Nasional,Culture,Indonesia,Jakarta,20000,6.2,4.6,"{'lat': -6.1753924, 'lng': 106.8271528}",-6.1753924,106.8271528
Kota Tua,Culture,Indonesia,Jakarta,0,0,4.6,"{'lat': -6.137644799999999, 'lng': 106.8171245}",-6.1376448,106.8171245
Dunia Fantasi,Amusement Park,Indonesia,Jakarta,270000,83.7,4.6,"{'lat': -6.125312399999999, 'lng': 106.8335377}",-6.1253124,106.8335377
Taman Mini Indonesia Indah (TMII),Amusement Park,Indonesia,Jakarta,10000,3.1,4.5,"{'lat': -6.302445899999999, 'lng': 106.8951559}",-6.3024459,106.8951559
Atlantis Water Adventure,Amusement Park,Indonesia,Jakarta,94000,29.14,4.5,"{'lat': -6.12419, 'lng': 106.839134}",-6.12419,106.839134
Taman Impian Jaya Ancol,Amusement Park,Indonesia,Jakarta,25000,7.75,4.5,"{'lat': -6.117333200000001, 'lng': 106.8579951}",-6.1173332,106.8579951
Kebun Binatang Ragunan,Nature,Indonesia,Jakarta,4000,1.24,4.5,"{'lat': -6.3124593, 'lng': 106.8201865}",-6.3124593,106.8201865
Ocean Ecopark,Amusement Park,Indonesia,Jakarta,180000,55.8,4,"{'lat': -6.125801699999999, 'lng': 106.8363249}",-6.1258017,106.8363249
Pelabuhan Marina,Nature,Indonesia,Jakarta,175000,54.25,4.4,"{'lat': 1.07888, 'lng': 103.931398}",1.07888,103.931398
Pulau Tidung,Nature,Indonesia,Jakarta,150000,46.5,4.5,"{'lat': -5.803205300000001, 'lng': 106.5237907}",-5.8032053,106.5237907
Pulau Bidadari,Nature,Indonesia,Jakarta,5000,1.55,4.6,"{'lat': -6.035832999999999, 'lng': 106.746944}",-6.035833,106.746944
Pulau Pari,Nature,Indonesia,Jakarta,150000,46.5,4,"{'lat': -5.9074328, 'lng': 106.5863989}",-5.9074328,106.5863989
Pulau Pramuka,Nature,Indonesia,Jakarta,5000,1.55,4.2,"{'lat': -5.745962, 'lng': 106.6136577}",-5.745962,106.6136577
Pulau Pelangi,Nature,Indonesia,Jakarta,900000,279,4.8,"{'lat': -5.587055, 'lng': 106.5885}",-5.587055,106.5885
Pasar Seni,Shopping,Indonesia,Jakarta,0,0,4.4,"{'lat': -6.1766868, 'lng': 106.8417666}",-6.1766868,106.8417666
Jembatan Kota Intan,Culture,Indonesia,Jakarta,0,0,4.3,"{'lat': -6.1314572, 'lng': 106.8106169}",-6.1314572,106.8106169
Museum Fatahillah,Culture,Indonesia,Jakarta,5000,1.55,4.4,"{'lat': -6.136448899999999, 'lng': 106.8130661}",-6.1364489,106.8130661
Museum Bank Indonesia,Culture,Indonesia,Jakarta,2000,0.62,4.7,"{'lat': -6.137127, 'lng': 106.813005}",-6.137127,106.813005
Kidzania,Amusement Park,Indonesia,Jakarta,185000,57.35,4.6,"{'lat': -6.225073499999999, 'lng': 106.8097144}",-6.2250735,106.8097144
Museum Taman Prasasti,Culture,Indonesia,Jakarta,2000,0.62,4.5,"{'lat': -6.172224099999998, 'lng': 106.8189695}",-6.1722241,106.8189695
Museum Wayang,Culture,Indonesia,Jakarta,5000,1.55,4.5,"{'lat': -6.1349072, 'lng': 106.8124452}",-6.1349072,106.8124452
Museum Nasional,Culture,Indonesia,Jakarta,5000,1.55,4.6,"{'lat': -6.176402099999999, 'lng': 106.8215901}",-6.1764021,106.8215901
Pasar Tanah Abang,Shopping,Indonesia,Jakarta,0,0,4,"{'lat': -6.189009599999999, 'lng': 106.8119312}",-6.1890096,106.8119312
Pecinan Glodok,Shopping,Indonesia,Jakarta,0,0,4.3,"{'lat': -6.142758799999999, 'lng': 106.8140791}",-6.1427588,106.8140791
Sea World,Amusement Park,Indonesia,Jakarta,115000,35.65,4.5,"{'lat': -6.126477500000001, 'lng': 106.842963}",-6.1264775,106.842963
Wisata Agro Edukatif Istana Susu Cibugary,Amusement Park,Indonesia,Jakarta,35000,10.85,4.5,"{'lat': -6.3568093, 'lng': 106.9062371}",-6.3568093,106.9062371
Wisata Kuliner Pecenongan,Shopping,Indonesia,Jakarta,0,0,5,"{'lat': -6.166788700000001, 'lng': 106.8265261}",-6.1667887,106.8265261
Taman Menteng,Amusement Park,Indonesia,Jakarta,0,0,4.5,"{'lat': -6.1964087, 'lng': 106.8293106}",-6.1964087,106.8293106
Wisata Alam Mangrove Angke,Nature,Indonesia,Jakarta,25000,7.75,4.3,"{'lat': -6.105334, 'lng': 106.735584}",-6.105334,106.735584
